                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9497,                 1.1565,                0.93637,                0.23643,                0.18456,                0.13978,                0.06838,                 2.3125,                 1.8389,                0.96722,             0.00037019,             0.00037019,             0.00037019
                      2,                 1.9608,                 1.1604,                0.93729,                0.22117,                0.18191,                0.14992,                0.07246,                  2.361,                 1.7884,                 0.9694,              0.0007332,              0.0007332,              0.0007332
                      3,                 1.9676,                 1.1639,                 0.9392,                0.30822,                0.15051,                0.14029,                0.06897,                 2.3745,                 2.0603,                0.97634,              0.0010889,              0.0010889,              0.0010889
                      4,                 1.9676,                 1.1586,                0.93871,                  0.295,                 0.1806,                0.15954,                0.07929,                 2.3392,                 1.7807,                0.96489,               0.001078,               0.001078,               0.001078
                      5,                 1.9402,                 1.1253,                0.93264,                0.31641,                0.18501,                0.17137,                0.09079,                 2.3241,                  1.816,                0.97099,               0.001067,               0.001067,               0.001067
                      6,                 1.9215,                 1.1135,                0.92909,                0.39038,                0.14617,                 0.1478,                0.07283,                  2.343,                 1.7857,                 0.9699,               0.001056,               0.001056,               0.001056
                      7,                  1.904,                 1.0993,                0.92735,                0.24809,                0.18239,                0.15155,                 0.0742,                 2.3073,                 1.8259,                0.96381,               0.001045,               0.001045,               0.001045
                      8,                 1.8921,                 1.0782,                0.92596,                0.38447,                0.15374,                0.16331,                 0.0785,                 2.2875,                 1.7372,                0.96613,               0.001034,               0.001034,               0.001034
                      9,                 1.8827,                 1.0718,                0.92373,                0.29075,                0.18893,                0.15361,                0.07809,                 2.3279,                 1.7946,                0.98274,               0.001023,               0.001023,               0.001023
                     10,                 1.8634,                 1.0567,                0.92064,                0.29893,                0.18734,                0.16286,                0.08159,                 2.2497,                 1.6962,                0.95517,               0.001012,               0.001012,               0.001012
                     11,                 1.8462,                 1.0396,                0.91957,                0.33572,                0.19613,                0.17464,                0.08701,                 2.3072,                 1.8288,                0.95266,               0.001001,               0.001001,               0.001001
                     12,                 1.8501,                 1.0379,                0.91771,                0.27785,                0.17741,                0.15739,                  0.077,                 2.3392,                 1.8496,                0.98361,             0.00099001,             0.00099001,             0.00099001
                     13,                 1.8296,                  1.026,                0.91437,                0.25671,                0.19363,                0.15896,                0.07889,                 2.2923,                 1.8137,                  0.968,             0.00097901,             0.00097901,             0.00097901
                     14,                 1.8304,                 1.0192,                0.91635,                0.40383,                0.19841,                0.18983,                0.09717,                 2.2824,                 1.7551,                0.96487,             0.00096801,             0.00096801,             0.00096801
                     15,                 1.8157,                 1.0123,                 0.9119,                0.32387,                0.21174,                0.17851,                0.08503,                 2.3202,                  1.772,                0.97183,             0.00095702,             0.00095702,             0.00095702
                     16,                 1.7965,                0.99498,                0.90897,                0.26043,                0.20802,                0.17173,                0.08432,                 2.2609,                 1.6907,                0.96941,             0.00094602,             0.00094602,             0.00094602
                     17,                 1.7939,                0.98887,                0.91029,                0.38136,                0.19499,                0.17651,                0.08831,                  2.319,                 1.7626,                0.96643,             0.00093502,             0.00093502,             0.00093502
                     18,                 1.7835,                0.97931,                0.90847,                0.31405,                0.19948,                0.17595,                0.08421,                 2.2716,                 1.8754,                0.95635,             0.00092402,             0.00092402,             0.00092402
                     19,                 1.7707,                0.97514,                0.90619,                0.41296,                 0.1778,                 0.1722,                0.08486,                 2.1798,                 1.7834,                0.94129,             0.00091302,             0.00091302,             0.00091302
                     20,                 1.7673,                0.96898,                0.90708,                0.47078,                0.19132,                0.18372,                0.09612,                 2.2104,                 1.8224,                0.95254,             0.00090202,             0.00090202,             0.00090202
                     21,                 1.7648,                0.96583,                0.90702,                0.31718,                0.20669,                0.18128,                0.09017,                 2.2582,                  1.795,                0.96596,             0.00089102,             0.00089102,             0.00089102
                     22,                 1.7545,                0.95664,                0.90211,                0.33039,                0.22032,                0.17124,                0.08394,                 2.2674,                 2.0862,                0.95817,             0.00088002,             0.00088002,             0.00088002
                     23,                 1.7473,                0.94782,                0.90333,                0.33203,                0.20649,                0.18915,                0.09551,                 2.2197,                 1.6911,                0.94837,             0.00086902,             0.00086902,             0.00086902
                     24,                 1.7371,                  0.943,                0.90166,                0.41964,                0.18396,                0.19133,                0.09306,                 2.2374,                 1.7187,                0.95212,             0.00085803,             0.00085803,             0.00085803
                     25,                 1.7258,                0.94131,                0.90111,                 0.3554,                0.21965,                0.19239,                0.09563,                 2.2355,                 1.6942,                0.96256,             0.00084703,             0.00084703,             0.00084703
                     26,                 1.7338,                0.94012,                0.90142,                0.36056,                0.20957,                0.18431,                0.09257,                 2.2193,                 1.7084,                0.94493,             0.00083603,             0.00083603,             0.00083603
                     27,                 1.7195,                0.93353,                0.89804,                0.39268,                0.18717,                0.18292,                0.09317,                  2.258,                 1.7052,                0.96084,             0.00082503,             0.00082503,             0.00082503
                     28,                 1.7205,                0.92729,                0.89596,                 0.3894,                 0.2199,                0.19059,                0.09561,                 2.1649,                 1.6828,                0.94208,             0.00081403,             0.00081403,             0.00081403
                     29,                 1.7138,                0.92144,                0.89668,                0.42941,                0.20335,                0.18401,                0.08942,                 2.2466,                 1.7738,                0.96545,             0.00080303,             0.00080303,             0.00080303
                     30,                 1.7009,                0.91751,                0.89647,                0.33996,                0.22851,                0.19207,                0.09656,                 2.1845,                 1.6655,                0.94278,             0.00079203,             0.00079203,             0.00079203
                     31,                 1.7053,                0.91782,                0.89649,                0.31002,                0.22234,                0.19095,                0.09535,                 2.1965,                  1.668,                0.94805,             0.00078103,             0.00078103,             0.00078103
                     32,                   1.69,                0.90806,                0.89528,                0.34401,                0.20934,                0.18345,                0.08972,                 2.1963,                 1.7076,                0.95465,             0.00077003,             0.00077003,             0.00077003
                     33,                 1.7036,                0.91207,                0.89575,                0.37691,                0.21753,                0.18948,                0.09341,                 2.1958,                 1.6331,                0.94999,             0.00075904,             0.00075904,             0.00075904
                     34,                 1.6927,                0.90404,                0.89425,                0.44914,                0.17868,                0.17998,                0.08963,                 2.1855,                  1.665,                0.94778,             0.00074804,             0.00074804,             0.00074804
                     35,                 1.6752,                0.89518,                0.89324,                 0.3354,                0.22504,                0.19647,                0.09845,                 2.2202,                 1.6435,                0.95823,             0.00073704,             0.00073704,             0.00073704
                     36,                 1.6758,                 0.8929,                0.89311,                0.35756,                 0.2096,                0.18349,                0.09095,                 2.2128,                 1.6588,                0.96047,             0.00072604,             0.00072604,             0.00072604
                     37,                  1.681,                0.90008,                0.89216,                0.33367,                0.20867,                0.17918,                0.09148,                 2.1791,                 1.6419,                 0.9493,             0.00071504,             0.00071504,             0.00071504
                     38,                 1.6773,                0.89401,                0.89284,                0.34311,                0.22192,                0.19568,                0.10074,                 2.1657,                 1.6131,                0.94825,             0.00070404,             0.00070404,             0.00070404
                     39,                 1.6741,                0.88591,                0.89159,                0.31724,                0.21948,                0.18171,                0.09046,                 2.2074,                  1.703,                0.95208,             0.00069304,             0.00069304,             0.00069304
                     40,                 1.6545,                0.87963,                0.88978,                0.41033,                0.18802,                0.18845,                0.09368,                 2.1626,                  1.636,                0.94237,             0.00068204,             0.00068204,             0.00068204
                     41,                  1.661,                0.88146,                0.89238,                0.44237,                0.22751,                0.20663,                0.10333,                 2.1867,                 1.5474,                0.95154,             0.00067104,             0.00067104,             0.00067104
                     42,                 1.6607,                0.88105,                 0.8881,                0.37646,                0.21446,                0.18965,                0.09523,                 2.1569,                  1.601,                0.94907,             0.00066005,             0.00066005,             0.00066005
                     43,                 1.6523,                0.87638,                0.88946,                0.39605,                 0.2257,                0.19774,                 0.0974,                 2.2013,                 1.5696,                0.95512,             0.00064905,             0.00064905,             0.00064905
                     44,                 1.6341,                0.86645,                0.88752,                0.40086,                 0.2352,                0.20812,                0.10516,                 2.1717,                 1.5966,                0.94369,             0.00063805,             0.00063805,             0.00063805
                     45,                 1.6401,                0.86898,                0.88759,                0.43035,                0.20881,                 0.1982,                0.10299,                 2.1939,                 1.6063,                0.95718,             0.00062705,             0.00062705,             0.00062705
                     46,                 1.6295,                0.85902,                0.88521,                0.44255,                 0.2088,                 0.1994,                0.10366,                 2.1836,                 1.5879,                0.95119,             0.00061605,             0.00061605,             0.00061605
                     47,                 1.6377,                0.86026,                0.88497,                0.47064,                0.22174,                0.21686,                0.11403,                 2.1796,                 1.5692,                 0.9464,             0.00060505,             0.00060505,             0.00060505
                     48,                 1.6315,                0.85838,                0.88684,                0.41337,                0.20584,                0.19461,                0.09656,                 2.1933,                 1.6414,                0.94936,             0.00059405,             0.00059405,             0.00059405
                     49,                 1.6222,                0.84959,                0.88424,                0.41325,                0.21274,                0.20325,                0.10238,                 2.1857,                 1.6085,                0.94734,             0.00058305,             0.00058305,             0.00058305
                     50,                 1.6301,                0.85533,                0.88488,                0.44365,                0.22783,                 0.2155,                0.11025,                 2.1764,                 1.5947,                0.94684,             0.00057205,             0.00057205,             0.00057205
                     51,                 1.6167,                0.84589,                 0.8833,                 0.3877,                0.22493,                 0.1955,                0.09699,                 2.1809,                 1.6404,                0.94267,             0.00056105,             0.00056105,             0.00056105
                     52,                 1.6169,                0.84749,                0.88392,                0.40933,                0.22309,                0.20539,                0.10167,                 2.1773,                   1.66,                 0.9459,             0.00055006,             0.00055006,             0.00055006
                     53,                 1.6111,                 0.8434,                0.88592,                 0.4184,                0.21545,                0.19787,                0.09977,                 2.1806,                 1.6487,                0.94929,             0.00053906,             0.00053906,             0.00053906
                     54,                 1.6094,                0.83987,                0.88186,                0.45047,                0.21664,                0.20709,                0.10534,                 2.1501,                 1.5847,                 0.9474,             0.00052806,             0.00052806,             0.00052806
                     55,                 1.5944,                0.83478,                0.88068,                0.43751,                0.23196,                0.21065,                0.10683,                 2.1533,                 1.6167,                0.94619,             0.00051706,             0.00051706,             0.00051706
                     56,                 1.6018,                0.83515,                0.88372,                0.44185,                0.20754,                0.19653,                0.09764,                 2.1768,                 1.6689,                0.95129,             0.00050606,             0.00050606,             0.00050606
                     57,                 1.6013,                0.83326,                0.88337,                0.41319,                0.20105,                0.19601,                0.09705,                 2.1614,                 1.6108,                0.94497,             0.00049506,             0.00049506,             0.00049506
